id,category_id,views,likes,dislikes,comment_count
0,22,748374,57527,2966,15954
1,24,2418783,97185,6146,12703
2,23,3191434,146033,5339,8181
3,24,343168,10172,666,2146
4,24,2095731,132235,1989,17518
5,28,119180,9763,511,1434
6,24,2103417,15993,2445,1970
7,28,817732,23663,778,3432
8,1,826059,3543,119,340
9,25,256426,12654,1363,2368
10,17,81377,655,25,177
11,24,104578,1576,303,1279
12,10,687582,114188,1333,8371
13,25,544770,7848,1171,3981
14,15,207532,7473,246,2120
15,28,75752,9419,52,1230
16,23,295639,8011,638,1256
17,27,78044,5398,53,385
18,28,97007,11963,36,2211
19,27,223871,8421,191,1214
20,27,115791,9586,75,2800
21,28,224019,3585,138,208
22,27,144418,11758,89,1014
23,26,145921,1707,578,673
24,23,33980,4884,52,234
25,24,223077,8676,193,1392
26,28,80705,4687,41,437
27,26,120727,9033,224,1346
28,25,27943,156,36,83
29,1,50867,715,238,246
30,2,98378,4035,495,486
31,24,26000,119,69,0
32,10,17158531,787419,43420,125882
33,24,67661,3781,84,626
34,19,141148,1661,70,236
35,22,98966,2486,184,532
36,1,288922,7515,792,2111
37,10,13917,1318,24,76
38,23,605932,38397,1387,3412
39,10,57169,6927,161,565
40,10,60506,5389,106,455
41,25,34785,308,26,413
42,17,945,7,5,8
43,10,328330,15186,15448,7484
44,22,321053,4451,1772,895
45,26,1456472,33505,1660,2160
46,24,69844,3417,33,160
47,17,956169,2017,2425,1447
48,17,4569,35,18,19
49,24,2045386,45406,2842,8309
50,24,1842393,99086,1339,11800
51,25,6473,205,6,15
52,17,1044813,15397,838,1100
53,10,9548677,190083,15015,11473
54,22,197062,7250,217,456
55,24,1496225,16116,236,605
56,17,162597,5734,106,525
57,25,9132,21,8,64
58,2,7265,89,8,22
59,24,291597,8209,344,1062
60,28,290801,10237,377,1016
61,25,5304,52,13,68
62,24,812516,26917,1979,4998
63,10,2642930,115795,3055,6410
64,25,105058,493,54,347
65,24,537715,8231,413,970
66,22,2744430,115426,1110,6541
67,23,3358068,120876,8279,6408
68,24,4732,203,6,33
69,26,7224515,55681,10247,9479
70,10,33523622,1634124,21082,85067
71,1,52591,2233,187,255
72,24,75822,2978,147,243
73,24,43715,1550,109,1031
74,10,303956,18603,585,1745
75,24,238643,2429,5381,2325
76,28,237307,1896,74,260
77,10,1282413,37669,1732,1691
78,24,1497519,15504,353,1084
79,23,148226,355,47,178
80,26,484185,23296,1184,1858
81,26,300617,8133,2693,2911
82,26,92523,2323,40,134
83,25,7524,67,19,56
84,26,103927,3571,278,399
85,22,177707,6271,88,275
86,1,1751064,16430,945,1231
87,10,46746,439,66,55
88,10,746092,34839,537,2541
89,24,836830,82320,1279,7998
90,27,67429,438,23,23
91,24,2237404,72593,1830,3501
92,15,45455,2282,35,17
93,26,2063667,98804,11682,11443
94,1,2736733,58967,3492,7915
95,10,165698,8599,361,930
96,10,836544,40195,373,976
97,15,284666,16396,81,949
98,23,3371669,202676,3394,20086
99,10,195685,14338,171,1070
100,22,1098897,43875,1326,4702
101,10,893462,22326,833,943
102,23,225286,1731,193,206
103,24,264793,3283,853,0
104,10,5476737,286268,4083,12254
105,23,3578502,307435,2573,12248
106,24,304926,3305,130,275
107,26,247319,10138,153,639
108,1,296434,3327,142,377
109,10,125962,5048,139,369
110,10,419341,53572,168,3083
111,10,138988,7999,84,612
112,10,1774018,88417,1002,7686
113,28,1575525,52829,1524,5864
114,10,626688,25115,499,1392
115,26,219030,14303,398,1099
116,10,493662,7693,181,388
117,24,1017803,25122,628,1504
118,24,139955,4417,217,457
119,22,362009,5505,2356,1264
120,22,294387,15247,385,976
121,24,844653,11616,313,1518
122,23,1315873,9312,584,769
123,22,188003,9091,135,2814
124,10,1624771,84426,1130,5981
125,25,125970,935,507,262
126,10,205869,11198,120,446
127,10,98422,2926,106,798
128,15,426078,19323,245,945
129,10,33315,1365,24,91
130,10,1231518,32648,6221,9288
131,20,154872,7683,164,1734
132,26,72626,3652,120,219
133,24,366180,4364,4448,1997
134,10,264511,11736,532,743
135,24,192609,1345,24,126
136,10,95944,1354,181,117
137,10,154494,2163,147,211
138,22,53321,443,131,106
139,24,95085,909,52,193
140,10,91776,4604,46,357
141,10,764716,35765,483,1159
142,10,135337,7158,89,318
143,26,77630,1991,83,208
144,24,378750,5642,146,675
145,24,151709,9210,71,1103
146,24,175852,15909,200,852
147,10,5149,242,0,54
148,10,1905487,65854,2442,4490
149,10,9632678,810895,16139,59473
150,24,476389,16106,950,2077
151,24,754558,11985,1356,1757
152,10,762616,20159,336,899
153,24,199429,10175,66,539
154,22,691229,31892,197,1404
155,27,6412,49,0,2
156,23,108618,4989,58,274
157,27,79306,3809,127,670
158,24,812007,5894,951,851
159,26,55398,1170,22,336
160,27,773,2,0,0
161,24,581288,5075,725,1780
162,10,99619,3959,158,335
163,2,4850,22,1,1
164,10,226088,10844,302,555
165,10,651036,23338,442,1101
166,24,451356,3454,284,623
167,15,46571,4250,16,408
168,24,28539,681,25,45
169,1,12609,40,79,17
170,10,30021,569,42,44
171,26,471266,23634,460,1714
172,24,1073134,47793,1886,5358
173,17,18573,420,10,236
174,27,250193,5748,332,1197
175,28,1827,3,0,2
176,28,2457408,2707,200,209
177,23,51143,258,5,10
178,24,27010,1666,36,150
179,26,122669,5723,55,263
180,22,358597,1211,72,593
181,24,56012,6243,106,414
182,22,6148,121,3,19
183,26,1390440,86207,1775,710
184,25,244532,633,174,765
185,24,82087,998,93,289
186,23,359120,15130,223,1143
187,25,33768,426,88,550
188,10,38068,2195,28,154
189,26,1277364,56867,2148,25326
190,10,1498866,67227,1473,4645
191,22,280065,20289,38,939
192,22,2259,0,0,0
193,17,470191,4037,430,1553
194,17,16305,147,13,47
195,25,169511,57,59,79
196,24,160477,8388,691,950
197,2,704363,16352,224,841
198,22,130778,5684,53,737
199,28,560569,29990,341,1788
200,23,462490,14132,795,666
201,23,295217,4854,1439,1267
202,24,1525400,63995,896,4697
203,28,1836419,28647,17815,7860
204,26,977285,87615,391,5575
205,28,390964,3687,1273,1224
206,23,1611093,58474,837,3294
207,23,983365,60983,578,3837
208,23,2765121,35529,1705,2388
209,28,3701763,56561,2495,11608
210,1,829132,25109,316,3428
211,24,391049,5939,106,385
212,25,137003,580,262,343
213,23,891912,122347,455,7459
214,26,175539,17130,264,1747
215,24,14565,478,13,67
216,10,125645,16754,65,1373
217,22,2188590,88099,7150,24225
218,1,394709,25188,281,1345
219,24,863116,20518,1030,4272
220,17,200235,1197,108,627
221,24,4632016,131784,9892,18284
222,10,122426,6310,298,1624
223,28,758998,19138,2272,2873
224,26,145100,5198,74,657
225,1,2671756,12699,505,1010
226,24,52743,4553,33,550
227,28,121681,6095,61,731
228,24,11404,62,26,20
229,27,419965,9805,1337,5457
230,23,137749,1145,61,131
231,24,772235,15301,1229,3328
232,27,297147,10410,110,665
233,24,126438,12229,86,1865
234,10,2285136,180284,3399,11700
235,27,206319,11131,209,553
236,24,60564,975,66,106
237,27,373457,16433,194,5220
238,23,4326684,167696,6730,9265
239,24,137860,1950,64,136
240,27,4009,61,6,14
241,24,3006,75,4,10
242,25,635985,20721,2417,4111
243,23,130893,8177,220,349
244,17,46954,87,18,28
245,10,208155,11162,569,954
246,24,190669,5162,131,1151
247,24,2509626,144816,2262,18893
248,26,20778,1440,24,437
249,25,30438,143,42,220
250,17,94694,136,11,31
251,24,211683,2279,545,1838
252,10,210393,8996,290,4043
253,17,63780,831,12,301
254,24,18438,563,16,29
255,28,1099318,26813,1047,3827
256,17,71661,6310,18,300
257,17,935879,5715,514,3442
258,10,131153,7129,78,265
259,25,84149,276,128,172
260,23,34138,4303,29,1399
261,24,144937,5246,171,280
262,27,306550,16612,160,1311
263,28,328325,19970,104,3336
264,24,2472569,17959,2863,2690
265,2,341074,10915,1915,1313
266,24,113963,11576,155,635
267,17,21544,83,74,62
268,25,93322,398,43,497
269,10,68084,2530,88,117
270,15,279092,8339,315,2371
271,25,692631,9086,1406,4582
272,24,155285,4719,64,207
273,2,93829,2229,36,469
274,26,31639,586,42,67
275,17,37524,126,77,45
276,23,358358,9211,731,1385
277,28,158173,6587,68,611
278,10,45200,930,67,116
279,27,286577,9606,248,1196
280,28,315177,4212,171,259
281,26,225044,2265,775,868
282,23,399491,6240,326,287
283,26,231104,12862,347,1824
284,17,5813,33,3,0
285,10,18317,1322,34,196
286,1,246134,5847,337,544
287,25,32483,23,10,135
288,24,113462,4566,142,757
289,19,311621,2425,145,465
290,24,94229,217,177,0
291,19,571588,386,47,113
292,24,272604,9576,260,1619
293,1,42336,4293,89,428
294,24,13750,305,10,39
295,17,6684,18,57,54
296,22,128523,4170,148,307
297,24,102639,3218,1085,475
298,10,20539417,840642,47715,124236
299,25,238413,732,92,618
300,17,41029,296,32,33
301,23,805124,44513,1756,3929
302,2,55140,136,14,46
303,22,120817,2896,210,594
304,1,58469,828,253,271
305,10,360223,15873,16033,7803
306,26,1775997,37124,1980,2695
307,25,6685,11,35,18
308,24,200060,4548,52,258
309,22,346924,4657,1838,734
310,10,12987863,216319,17751,12133
311,24,1981757,103407,1419,12354
312,17,1015189,2133,2483,1465
313,24,3653,47,3,25
314,24,2255529,48000,2970,8507
315,17,1155622,16060,883,1018
316,25,9892,250,7,19
317,10,5626588,408618,6121,28196
318,22,85643,170,45,0
319,22,212310,7589,227,463
320,17,180284,6073,125,512
321,24,301423,8409,349,952
322,24,835573,27068,2021,5165
323,10,3686343,130373,3628,6694
324,28,297840,10429,378,990
325,22,2922523,119348,1161,6736
326,24,595415,8795,450,1022
327,23,3643894,125205,8702,5687
328,25,9833,73,21,62
329,26,7563254,58209,10859,7120
330,10,54341,487,67,64
331,10,357078,19783,610,1732
332,10,1888789,44007,1997,1794
333,23,168446,374,48,191
334,24,263656,2556,5584,2377
335,26,515525,24115,1249,1860
336,10,39082222,1721383,23137,90352
337,28,1080230,2540,887,1040
338,10,873362,36365,594,2630
339,26,366892,9052,2993,3088
340,22,48372,382,11,29
341,22,216766,7108,95,319
342,24,81086,3085,150,250
343,28,3931,17,0,2
344,24,1072970,102199,1469,8943
345,1,56372,2332,191,261
346,27,69786,453,26,19
347,10,204298,9321,386,993
348,24,101233,3128,51,93
349,10,1126501,48219,444,1083
350,24,2498463,75023,1925,3483
351,10,224608,14843,180,1004
352,15,45965,2284,35,17
353,15,317304,17023,84,939
354,1,1996082,18992,1049,1322
355,24,44939,1576,110,1021
356,26,118316,3823,294,404
357,26,2244971,101831,12677,11863
358,1,2844271,60500,3667,8122
359,26,99019,2404,40,135
360,23,3591699,212004,3528,20418
361,10,1137392,26180,992,1055
362,10,147193,5405,151,395
363,10,482334,55001,184,3027
364,26,269509,10801,158,653
365,23,3741812,314872,2647,12114
366,22,1185773,45513,1378,4794
367,10,178313,9072,98,656
368,10,2185367,96850,1130,8216
369,1,366814,4099,172,449
370,10,797436,29425,585,1497
371,28,1646057,53901,1566,5963
372,24,271685,3330,854,0
373,17,3505996,5934,3400,5162
374,22,194946,9278,137,2803
375,22,392482,5659,2432,1311
376,10,1882868,88072,1219,6083
377,10,226317,11702,125,471
378,26,232083,14766,408,1107
379,25,144694,1012,588,288
380,24,908489,12261,339,1600
381,10,180606,2400,159,239
382,22,308352,15765,399,984
383,24,193832,1351,25,128
384,10,41251,1561,29,96
385,10,524911,7822,185,403
386,15,467804,19962,268,953
387,26,77302,3756,123,222
388,10,304700,12347,577,756
389,10,1440724,36686,6598,9637
390,24,878560,12961,1468,1788
391,24,155533,4621,233,451
392,20,161231,7803,169,1479
393,24,379918,4472,4507,2066
394,25,90454,211,65,59
395,10,157037,7800,96,326
396,10,895507,38734,550,1270
397,23,134372,7979,80,310
398,22,55901,477,132,105
