,category_id,views,likes,dislikes,comment_count,publish_time
0,22,748374,57527,2966,15954,2017-11-13T17:13:01.000Z
1,24,2418783,97185,6146,12703,2017-11-13T07:30:00.000Z
2,23,3191434,146033,5339,8181,2017-11-12T19:05:24.000Z
3,24,343168,10172,666,2146,2017-11-13T11:00:04.000Z
4,24,2095731,132235,1989,17518,2017-11-12T18:01:41.000Z
5,28,119180,9763,511,1434,2017-11-13T19:07:23.000Z
6,24,2103417,15993,2445,1970,2017-11-12T05:37:17.000Z
7,28,817732,23663,778,3432,2017-11-12T21:50:37.000Z
8,1,826059,3543,119,340,2017-11-13T14:00:23.000Z
9,25,256426,12654,1363,2368,2017-11-13T13:45:16.000Z
10,17,81377,655,25,177,2017-11-13T02:05:26.000Z
11,24,104578,1576,303,1279,2017-11-13T03:00:00.000Z
12,10,687582,114188,1333,8371,2017-11-13T17:00:00.000Z
13,25,544770,7848,1171,3981,2017-11-12T14:00:00.000Z
14,15,207532,7473,246,2120,2017-11-12T18:30:01.000Z
15,28,75752,9419,52,1230,2017-11-13T20:09:58.000Z
16,23,295639,8011,638,1256,2017-11-12T17:00:05.000Z
17,27,78044,5398,53,385,2017-11-13T16:00:07.000Z
18,28,97007,11963,36,2211,2017-11-13T15:30:17.000Z
19,27,223871,8421,191,1214,2017-11-12T22:00:01.000Z
20,27,115791,9586,75,2800,2017-11-13T14:00:03.000Z
21,28,224019,3585,138,208,2017-11-12T15:00:01.000Z
22,27,144418,11758,89,1014,2017-11-13T16:00:03.000Z
23,26,145921,1707,578,673,2017-11-12T16:00:01.000Z
24,23,33980,4884,52,234,2017-11-13T14:44:24.000Z
25,24,223077,8676,193,1392,2017-11-12T14:00:04.000Z
26,28,80705,4687,41,437,2017-11-13T12:13:36.000Z
27,26,120727,9033,224,1346,2017-11-13T16:00:03.000Z
28,25,27943,156,36,83,2017-11-13T15:42:28.000Z
29,1,50867,715,238,246,2011-05-29T17:03:12.000Z
30,2,98378,4035,495,486,2017-11-13T01:43:12.000Z
31,24,26000,119,69,0,2017-11-06T17:52:50.000Z
32,10,17158531,787419,43420,125882,2017-11-10T17:00:03.000Z
33,24,67661,3781,84,626,2017-11-12T23:41:37.000Z
34,19,141148,1661,70,236,2017-11-12T05:55:42.000Z
35,22,98966,2486,184,532,2017-04-21T06:47:32.000Z
36,1,288922,7515,792,2111,2017-11-12T18:00:03.000Z
37,10,13917,1318,24,76,2017-11-13T15:01:18.000Z
38,23,605932,38397,1387,3412,2017-11-12T23:41:48.000Z
39,10,57169,6927,161,565,2017-11-13T15:31:44.000Z
40,10,60506,5389,106,455,2017-11-13T17:00:04.000Z
41,25,34785,308,26,413,2017-11-12T21:16:40.000Z
42,17,945,7,5,8,2017-11-13T15:11:00.000Z
43,10,328330,15186,15448,7484,2017-11-11T16:00:01.000Z
44,22,321053,4451,1772,895,2017-11-11T15:00:03.000Z
45,26,1456472,33505,1660,2160,2017-11-12T00:45:54.000Z
46,24,69844,3417,33,160,2017-11-13T13:00:06.000Z
47,17,956169,2017,2425,1447,2017-11-10T18:23:05.000Z
48,17,4569,35,18,19,2017-11-13T02:15:30.000Z
49,24,2045386,45406,2842,8309,2017-11-10T23:05:25.000Z
50,24,1842393,99086,1339,11800,2017-11-11T19:03:43.000Z
51,25,6473,205,6,15,2017-11-12T15:05:55.000Z
52,17,1044813,15397,838,1100,2017-11-11T15:00:00.000Z
53,10,9548677,190083,15015,11473,2017-11-10T15:00:00.000Z
54,22,197062,7250,217,456,2017-11-11T18:08:04.000Z
55,24,1496225,16116,236,605,2017-11-10T19:06:23.000Z
56,17,162597,5734,106,525,2017-11-11T20:00:02.000Z
57,25,9132,21,8,64,2017-11-12T15:24:29.000Z
58,2,7265,89,8,22,2017-11-13T00:46:11.000Z
59,24,291597,8209,344,1062,2017-11-11T06:34:48.000Z
60,28,290801,10237,377,1016,2017-11-11T15:38:32.000Z
61,25,5304,52,13,68,2017-11-13T15:44:35.000Z
62,24,812516,26917,1979,4998,2017-11-10T15:07:13.000Z
63,10,2642930,115795,3055,6410,2017-11-10T05:00:01.000Z
64,25,105058,493,54,347,2017-11-12T13:13:33.000Z
65,24,537715,8231,413,970,2017-11-10T19:00:00.000Z
66,22,2744430,115426,1110,6541,2017-11-11T01:19:33.000Z
67,23,3358068,120876,8279,6408,2017-11-10T18:30:01.000Z
68,24,4732,203,6,33,2017-11-13T17:00:26.000Z
69,26,7224515,55681,10247,9479,2017-11-10T07:38:29.000Z
70,10,33523622,1634124,21082,85067,2017-11-09T11:04:14.000Z
71,1,52591,2233,187,255,2017-11-11T03:56:10.000Z
72,24,75822,2978,147,243,2017-11-10T23:00:01.000Z
73,24,43715,1550,109,1031,2017-11-11T17:55:27.000Z
74,10,303956,18603,585,1745,2017-11-10T17:00:05.000Z
75,24,238643,2429,5381,2325,2017-11-10T12:59:55.000Z
76,28,237307,1896,74,260,2017-11-10T12:04:17.000Z
77,10,1282413,37669,1732,1691,2017-11-10T14:40:48.000Z
78,24,1497519,15504,353,1084,2017-11-10T09:35:00.000Z
79,23,148226,355,47,178,2017-10-17T20:01:44.000Z
80,26,484185,23296,1184,1858,2017-11-11T02:42:23.000Z
81,26,300617,8133,2693,2911,2017-11-10T20:40:44.000Z
82,26,92523,2323,40,134,2017-11-10T16:01:04.000Z
83,25,7524,67,19,56,2017-11-12T20:26:46.000Z
84,26,103927,3571,278,399,2017-11-11T05:23:36.000Z
85,22,177707,6271,88,275,2017-11-11T00:30:16.000Z
